FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Station,Accessibility1.5
18,96,High Street Kensington,525578,179494,"District, Circle",London Underground,1,-0.190607248,51.49993492,High Street Kensington,35.80952072923294
37,49,Holborn,530512,181525,"Central, Piccadilly",London Underground,1,-0.1188087,51.51706879,Holborn,71.28440180865161
25,14,Hyde Park Corner,528213,179817,Piccadilly,London Underground,1,-0.152546395,51.50224103,Hyde Park Corner,49.48546143439662
11,89,King's Cross St. Pancras,530175,182875,"Metropolitan, Northern, Piccadilly, Circle, Victoria, Hammersmith & City",London Underground,1,-0.123168404,51.52927728,King's Cross St. Pancras,84.9254546315604
26,15,Knightsbridge,527710,179636,Piccadilly,London Underground,1,-0.159863737,51.50073061,Knightsbridge,46.58959326547395
49,231,Lambeth North,531134,179456,Bakerloo,London Underground,1,-0.110624882,51.49833058,Lambeth North,53.77723121951329
32,40,Lancaster Gate,526711,180773,Central,London Underground,1,-0.173843886,51.51117805,Lancaster Gate,62.5641459998927
27,16,Leicester Square,529980,180824,"Piccadilly, Northern",London Underground,1,-0.126725567,51.51089472,Leicester Square,127.56490271002089
7,85,Liverpool Street,533094,181567,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1,-0.081601363,51.5168424,Liverpool Street,141.5830133884556
63,289,London Bridge,532683,180189,"Northern, Jubilee",London Underground,1,-0.088037808,51.50455372,London Bridge,53.02295260126883
2,80,Mansion House,532354,180932,"District, Circle",London Underground,1,-0.092495313,51.51130597,Mansion House,115.52996575034777
33,41,Marble Arch,527960,181017,Central,London Underground,1,-0.155755638,51.51309055,Marble Arch,69.50202008622429
51,236,Marylebone,527459,181957,Bakerloo,London Underground,1,-0.162637346,51.52165079,Marylebone,70.80331128378326
4,82,Monument,532912,180824,"District, Circle",London Underground,1,-0.084502291,51.51020898,Monument,98.83368452137873
8,86,Moorgate,532668,181668,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1,-0.087700241,51.5178533,Moorgate,80.68052941228983
31,39,Notting Hill Gate,525285,180456,"District, Central, Circle",London Underground,1,-0.194491212,51.5086469,Notting Hill Gate,37.824532206553705
58,330,Old Street,532764,182419,Northern,London Underground,1,-0.086025441,51.52457628,Old Street,50.40889521182354
36,48,Oxford Circus,529047,181236,"Central, Bakerloo, Victoria",London Underground,1,-0.140025246,51.51481046,Oxford Circus,97.25071721954156
40,67,Paddington,526659,181314,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,-0.174388339,51.51605291,Paddington,65.50452801115777
47,228,Piccadilly Circus,529613,180666,"Bakerloo, Piccadilly",London Underground,1,-0.132081484,51.50955061,Piccadilly Circus,146.8586745371087
22,112,Pimlico,529671,178333,Victoria,London Underground,1,-0.132103672,51.48856954,Pimlico,40.16140474727876
24,119,Queensway,525903,180594,Central,London Underground,1,-0.185538472,51.50974305,Queensway,49.68728264578488
52,237,Regent's Park,528699,182113,Bakerloo,London Underground,1,-0.144708117,51.52277011,Regent's Park,53.81155351815127
29,18,Russell Square,530229,182128,Piccadilly,London Underground,1,-0.122662273,51.52255053,Russell Square,71.84548840197456
60,339,Shoreditch High Street,533555,182248,,London Overground,1,-0.074700292,51.52285471,Shoreditch High Street,56.04218756646802
53,238,Sloane Square,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524,Sloane Square,43.21110818575669
20,98,South Kensington,526918,178820,"District, Piccadilly, Circle",London Underground,1,-0.171564291,51.49357736,South Kensington,45.160252878406645
62,288,Southwark,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646,Southwark,59.75555973609339
54,239,St. James's Park,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006,St. James's Park,58.97665610311495
39,51,St. Paul's,532108,181274,Central,London Underground,1,-0.095907533,51.51444286,St. Paul's,130.36818017942846
0,78,Temple,530959,180803,"District, Circle",London Underground,1,-0.112643564,51.5104742,Temple,73.24311549095361
56,309,Tottenham Court Road,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793,Tottenham Court Road,83.1629254147132
66,470,TOWER GATEWAY - DLR,533706,180834,,DLR,1,-0.073061976,51.51011047,TOWER GATEWAY - DLR,62.31777663639142
5,83,Tower Hill,533579,180755,"District, Circle",London Underground,1,-0.074913869,51.50943419,Tower Hill,68.21696940997911
21,110,Victoria,528999,179130,"District, Circle, Victoria",London Underground,1,-0.141485017,51.49588954,Victoria,77.22800756700182
23,114,Warren Street,529249,182266,"Northern, Victoria",London Underground,1,-0.136735811,51.52401887,Warren Street,119.1826866472063
44,198,Waterloo,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418,Waterloo,118.39001698464781
42,195,Westminster,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311,Westminster,109.71996590574962
