FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Station,Accessibility2
32,40,Lancaster Gate,526711,180773,Central,London Underground,1,-0.173843886,51.51117805,Lancaster Gate,25.231900708008794
27,16,Leicester Square,529980,180824,"Piccadilly, Northern",London Underground,1,-0.126725567,51.51089472,Leicester Square,173.82865653880137
7,85,Liverpool Street,533094,181567,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1,-0.081601363,51.5168424,Liverpool Street,153.7004313219543
63,289,London Bridge,532683,180189,"Northern, Jubilee",London Underground,1,-0.088037808,51.50455372,London Bridge,111.90968471271611
2,80,Mansion House,532354,180932,"District, Circle",London Underground,1,-0.092495313,51.51130597,Mansion House,197.90504234599942
33,41,Marble Arch,527960,181017,Central,London Underground,1,-0.155755638,51.51309055,Marble Arch,90.28911371315272
51,236,Marylebone,527459,181957,Bakerloo,London Underground,1,-0.162637346,51.52165079,Marylebone,95.38654195970538
4,82,Monument,532912,180824,"District, Circle",London Underground,1,-0.084502291,51.51020898,Monument,386.7104086971056
8,86,Moorgate,532668,181668,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1,-0.087700241,51.5178533,Moorgate,109.7142905570683
31,39,Notting Hill Gate,525285,180456,"District, Central, Circle",London Underground,1,-0.194491212,51.5086469,Notting Hill Gate,36.15329207558161
58,330,Old Street,532764,182419,Northern,London Underground,1,-0.086025441,51.52457628,Old Street,42.88018558571887
36,48,Oxford Circus,529047,181236,"Central, Bakerloo, Victoria",London Underground,1,-0.140025246,51.51481046,Oxford Circus,128.12849404849732
40,67,Paddington,526659,181314,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,-0.174388339,51.51605291,Paddington,64.42565060654366
47,228,Piccadilly Circus,529613,180666,"Bakerloo, Piccadilly",London Underground,1,-0.132081484,51.50955061,Piccadilly Circus,156.56438678701923
22,112,Pimlico,529671,178333,Victoria,London Underground,1,-0.132103672,51.48856954,Pimlico,30.652900883918946
24,119,Queensway,525903,180594,Central,London Underground,1,-0.185538472,51.50974305,Queensway,22.336221170025684
52,237,Regent's Park,528699,182113,Bakerloo,London Underground,1,-0.144708117,51.52277011,Regent's Park,41.74049324716405
29,18,Russell Square,530229,182128,Piccadilly,London Underground,1,-0.122662273,51.52255053,Russell Square,85.90198461451175
60,339,Shoreditch High Street,533555,182248,,London Overground,1,-0.074700292,51.52285471,Shoreditch High Street,76.33449948300803
53,238,Sloane Square,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524,Sloane Square,77.4939295575829
20,98,South Kensington,526918,178820,"District, Piccadilly, Circle",London Underground,1,-0.171564291,51.49357736,South Kensington,35.72561693527507
62,288,Southwark,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646,Southwark,44.47809846213931
54,239,St. James's Park,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006,St. James's Park,42.46052604808034
39,51,St. Paul's,532108,181274,Central,London Underground,1,-0.095907533,51.51444286,St. Paul's,276.1461785854106
0,78,Temple,530959,180803,"District, Circle",London Underground,1,-0.112643564,51.5104742,Temple,82.46885732432332
56,309,Tottenham Court Road,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793,Tottenham Court Road,204.28955887545985
66,470,TOWER GATEWAY - DLR,533706,180834,,DLR,1,-0.073061976,51.51011047,TOWER GATEWAY - DLR,75.9536225035424
5,83,Tower Hill,533579,180755,"District, Circle",London Underground,1,-0.074913869,51.50943419,Tower Hill,95.06083791278938
21,110,Victoria,528999,179130,"District, Circle, Victoria",London Underground,1,-0.141485017,51.49588954,Victoria,171.71662097771596
23,114,Warren Street,529249,182266,"Northern, Victoria",London Underground,1,-0.136735811,51.52401887,Warren Street,246.98261832742068
44,198,Waterloo,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418,Waterloo,56.66859322034893
42,195,Westminster,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311,Westminster,144.68379982409337
